"PassengerId","Pclass","Sex","Age","SibSp","Parch","Fare","Embarked","Title","Deck","Family_Size","Fare_per_pclass","Survived"
1,"3","male",22.0,1,0,7.25,"S","Mr","Unknown",1,7.25,"0"
2,"1","female",38.0,1,0,71.2833,"C","Mrs","C",1,23.7611,"1"
3,"3","female",26.0,0,0,7.925,"S","Miss","Unknown",0,7.925,"1"
4,"1","female",35.0,1,0,53.1,"S","Mrs","C",1,17.7,"1"
5,"3","male",35.0,0,0,8.05,"S","Mr","Unknown",0,8.05,"0"
6,"3","male",32.108509651425784,0,0,8.4583,"Q","Mr","Unknown",0,8.4583,"0"
7,"1","male",54.0,0,0,51.8625,"S","Mr","E",0,17.287499999999998,"0"
8,"3","male",2.0,3,1,21.075,"S","Master","Unknown",4,21.075,"0"
9,"3","female",27.0,0,2,11.1333,"S","Mrs","Unknown",2,11.1333,"1"
10,"2","female",14.0,1,0,30.0708,"C","Mrs","Unknown",1,15.0354,"1"
11,"3","female",4.0,1,1,16.7,"S","Miss","G",2,16.7,"1"
12,"1","female",58.0,0,0,26.55,"S","Miss","C",0,8.85,"1"
13,"3","male",20.0,0,0,8.05,"S","Mr","Unknown",0,8.05,"0"
14,"3","male",39.0,1,5,31.275,"S","Mr","Unknown",6,31.275,"0"
15,"3","female",14.0,0,0,7.8542,"S","Miss","Unknown",0,7.8542,"0"
16,"2","female",55.0,0,0,16.0,"S","Mrs","Unknown",0,8.0,"1"
17,"3","male",2.0,4,1,29.125,"Q","Master","Unknown",5,29.125,"0"
18,"2","male",31.5781470886837,0,0,13.0,"S","Mr","Unknown",0,6.5,"1"
19,"3","female",31.0,1,0,18.0,"S","Mrs","Unknown",1,18.0,"0"
20,"3","female",30.18980087658253,0,0,7.225,"C","Mrs","Unknown",0,7.225,"1"
21,"2","male",35.0,0,0,26.0,"S","Mr","Unknown",0,13.0,"0"
22,"2","male",34.0,0,0,13.0,"S","Mr","D",0,6.5,"1"
23,"3","female",15.0,0,0,8.0292,"Q","Miss","Unknown",0,8.0292,"1"
24,"1","male",28.0,0,0,35.5,"S","Mr","A",0,11.833333333333334,"1"
25,"3","female",8.0,3,1,21.075,"S","Miss","Unknown",4,21.075,"0"
26,"3","female",38.0,1,5,31.3875,"S","Mrs","Unknown",6,31.3875,"1"
27,"3","male",29.282989100593632,0,0,7.225,"C","Mr","Unknown",0,7.225,"0"
28,"1","male",19.0,3,2,263.0,"S","Mr","C",5,87.66666666666667,"0"
29,"3","female",24.824112006969308,0,0,7.8792,"Q","Miss","Unknown",0,7.8792,"1"
30,"3","male",29.282989100593632,0,0,7.8958,"S","Mr","Unknown",0,7.8958,"0"
31,"1","male",40.0,0,0,27.7208,"C","Mr","Unknown",0,9.240266666666667,"0"
32,"1","female",31.063180684807385,1,0,146.5208,"C","Mrs","B",1,48.84026666666667,"1"
33,"3","female",24.824112006969308,0,0,7.75,"Q","Miss","Unknown",0,7.75,"1"
34,"2","male",66.0,0,0,10.5,"S","Mr","Unknown",0,5.25,"0"
35,"1","male",28.0,1,0,82.1708,"C","Mr","Unknown",1,27.390266666666665,"0"
36,"1","male",42.0,1,0,52.0,"S","Mr","Unknown",1,17.333333333333332,"0"
37,"3","male",29.282989100593632,0,0,7.2292,"C","Mr","Unknown",0,7.2292,"1"
38,"3","male",21.0,0,0,8.05,"S","Mr","Unknown",0,8.05,"0"
39,"3","female",18.0,2,0,18.0,"S","Miss","Unknown",2,18.0,"0"
40,"3","female",14.0,1,0,11.2417,"C","Miss","Unknown",1,11.2417,"1"
41,"3","female",40.0,1,0,9.475,"S","Mrs","Unknown",1,9.475,"0"
42,"2","female",27.0,1,0,21.0,"S","Mrs","Unknown",1,10.5,"0"
43,"3","male",29.282989100593632,0,0,7.8958,"C","Mr","Unknown",0,7.8958,"0"
44,"2","female",3.0,1,2,41.5792,"C","Miss","Unknown",3,20.7896,"1"
45,"3","female",19.0,0,0,7.8792,"Q","Miss","Unknown",0,7.8792,"1"
46,"3","male",29.282989100593632,0,0,8.05,"S","Mr","Unknown",0,8.05,"0"
47,"3","male",31.76376161868081,1,0,15.5,"Q","Mr","Unknown",1,15.5,"0"
48,"3","female",24.824112006969308,0,0,7.75,"Q","Miss","Unknown",0,7.75,"1"
49,"3","male",28.938241067848658,2,0,21.6792,"C","Mr","Unknown",2,21.6792,"0"
50,"3","female",18.0,1,0,17.8,"S","Mrs","Unknown",1,17.8,"0"
51,"3","male",7.0,4,1,39.6875,"S","Master","Unknown",5,39.6875,"0"
52,"3","male",21.0,0,0,7.8,"S","Mr","Unknown",0,7.8,"0"
53,"1","female",49.0,1,0,76.7292,"C","Mrs","D",1,25.576400000000003,"1"
54,"2","female",29.0,1,0,26.0,"S","Mrs","Unknown",1,13.0,"1"
55,"1","male",65.0,0,1,61.9792,"C","Mr","B",1,20.65973333333333,"0"
56,"1","male",35.568908066995,0,0,35.5,"S","Mr","C",0,11.833333333333334,"1"
57,"2","female",21.0,0,0,10.5,"S","Miss","Unknown",0,5.25,"1"
58,"3","male",28.5,0,0,7.2292,"C","Mr","Unknown",0,7.2292,"0"
59,"2","female",5.0,1,2,27.75,"S","Miss","Unknown",3,13.875,"1"
60,"3","male",11.0,5,2,46.9,"S","Master","Unknown",7,46.9,"0"
61,"3","male",22.0,0,0,7.2292,"C","Mr","Unknown",0,7.2292,"0"
62,"1","female",38.0,0,0,80.0,"S","Miss","B",0,26.666666666666668,"1"
63,"1","male",45.0,1,0,83.475,"S","Mr","C",1,27.825,"0"
64,"3","male",4.0,3,2,27.9,"S","Master","Unknown",5,27.9,"0"
65,"1","male",36.506151372141694,0,0,27.7208,"C","Mr","Unknown",0,9.240266666666667,"0"
66,"3","male",19.469283761031484,1,1,15.2458,"C","Master","Unknown",2,15.2458,"1"
67,"2","female",29.0,0,0,10.5,"S","Mrs","F",0,5.25,"1"
68,"3","male",19.0,0,0,8.1583,"S","Mr","Unknown",0,8.1583,"0"
69,"3","female",17.0,4,2,7.925,"S","Miss","Unknown",6,7.925,"1"
70,"3","male",26.0,2,0,8.6625,"S","Mr","Unknown",2,8.6625,"0"
71,"2","male",32.0,0,0,10.5,"S","Mr","Unknown",0,5.25,"0"
72,"3","female",16.0,5,2,46.9,"S","Miss","Unknown",7,46.9,"0"
73,"2","male",21.0,0,0,73.5,"S","Mr","Unknown",0,36.75,"0"
74,"3","male",26.0,1,0,14.4542,"C","Mr","Unknown",1,14.4542,"0"
75,"3","male",32.0,0,0,56.4958,"S","Mr","Unknown",0,56.4958,"1"
76,"3","male",25.0,0,0,7.65,"S","Mr","F",0,7.65,"0"
77,"3","male",29.282989100593632,0,0,7.8958,"S","Mr","Unknown",0,7.8958,"0"
78,"3","male",29.282989100593632,0,0,8.05,"S","Mr","Unknown",0,8.05,"0"
79,"2","male",0.83,0,2,29.0,"S","Master","Unknown",2,14.5,"1"
80,"3","female",30.0,0,0,12.475,"S","Miss","Unknown",0,12.475,"1"
81,"3","male",22.0,0,0,9.0,"S","Mr","Unknown",0,9.0,"0"
82,"3","male",29.0,0,0,9.5,"S","Mr","Unknown",0,9.5,"1"
83,"3","female",24.824112006969308,0,0,7.7875,"Q","Miss","Unknown",0,7.7875,"1"
84,"1","male",28.0,0,0,47.1,"S","Mr","Unknown",0,15.700000000000001,"0"
85,"2","female",17.0,0,0,10.5,"S","Miss","Unknown",0,5.25,"1"
86,"3","female",33.0,3,0,15.85,"S","Mrs","Unknown",3,15.85,"1"
87,"3","male",16.0,1,3,34.375,"S","Mr","Unknown",4,34.375,"0"
88,"3","male",29.282989100593632,0,0,8.05,"S","Mr","Unknown",0,8.05,"0"
89,"1","female",23.0,3,2,263.0,"S","Miss","C",5,87.66666666666667,"1"
90,"3","male",24.0,0,0,8.05,"S","Mr","Unknown",0,8.05,"0"
91,"3","male",29.0,0,0,8.05,"S","Mr","Unknown",0,8.05,"0"
92,"3","male",20.0,0,0,7.8542,"S","Mr","Unknown",0,7.8542,"0"
93,"1","male",46.0,1,0,61.175,"S","Mr","E",1,20.391666666666666,"0"
94,"3","male",26.0,1,2,20.575,"S","Mr","Unknown",3,20.575,"0"
95,"3","male",59.0,0,0,7.25,"S","Mr","Unknown",0,7.25,"0"
96,"3","male",29.282989100593632,0,0,8.05,"S","Mr","Unknown",0,8.05,"0"
97,"1","male",71.0,0,0,34.6542,"C","Mr","A",0,11.551400000000001,"0"
98,"1","male",23.0,0,1,63.3583,"C","Mr","D",1,21.119433333333333,"1"
99,"2","female",34.0,0,1,23.0,"S","Mrs","Unknown",1,11.5,"1"
100,"2","male",34.0,1,0,26.0,"S","Mr","Unknown",1,13.0,"0"
101,"3","female",28.0,0,0,7.8958,"S","Miss","Unknown",0,7.8958,"0"
102,"3","male",29.282989100593632,0,0,7.8958,"S","Mr","Unknown",0,7.8958,"0"
103,"1","male",21.0,0,1,77.2875,"S","Mr","D",1,25.7625,"0"
104,"3","male",33.0,0,0,8.6542,"S","Mr","Unknown",0,8.6542,"0"
105,"3","male",37.0,2,0,7.925,"S","Mr","Unknown",2,7.925,"0"
106,"3","male",28.0,0,0,7.8958,"S","Mr","Unknown",0,7.8958,"0"
107,"3","female",21.0,0,0,7.65,"S","Miss","Unknown",0,7.65,"1"
108,"3","male",29.282989100593632,0,0,7.775,"S","Mr","Unknown",0,7.775,"1"
109,"3","male",38.0,0,0,7.8958,"S","Mr","Unknown",0,7.8958,"0"
110,"3","female",24.824112006969308,1,0,24.15,"Q","Miss","Unknown",1,24.15,"1"
111,"1","male",47.0,0,0,52.0,"S","Mr","C",0,17.333333333333332,"0"
112,"3","female",14.5,1,0,14.4542,"C","Miss","Unknown",1,14.4542,"0"
113,"3","male",22.0,0,0,8.05,"S","Mr","Unknown",0,8.05,"0"
114,"3","female",20.0,1,0,9.825,"S","Miss","Unknown",1,9.825,"0"
115,"3","female",17.0,0,0,14.4583,"C","Miss","Unknown",0,14.4583,"0"
116,"3","male",21.0,0,0,7.925,"S","Mr","Unknown",0,7.925,"0"
117,"3","male",70.5,0,0,7.75,"Q","Mr","Unknown",0,7.75,"0"
118,"2","male",29.0,1,0,21.0,"S","Mr","Unknown",1,10.5,"0"
119,"1","male",24.0,0,1,247.5208,"C","Mr","B",1,82.50693333333334,"0"
120,"3","female",2.0,4,2,31.275,"S","Miss","Unknown",6,31.275,"0"
121,"2","male",21.0,2,0,73.5,"S","Mr","Unknown",2,36.75,"0"
122,"3","male",29.282989100593632,0,0,8.05,"S","Mr","Unknown",0,8.05,"0"
123,"2","male",32.5,1,0,30.0708,"C","Mr","Unknown",1,15.0354,"0"
124,"2","female",32.5,0,0,13.0,"S","Miss","E",0,6.5,"1"
125,"1","male",54.0,0,1,77.2875,"S","Mr","D",1,25.7625,"0"
126,"3","male",12.0,1,0,11.2417,"C","Master","Unknown",1,11.2417,"1"
127,"3","male",32.108509651425784,0,0,7.75,"Q","Mr","Unknown",0,7.75,"0"
128,"3","male",24.0,0,0,7.1417,"S","Mr","Unknown",0,7.1417,"1"
129,"3","female",22.80947970742688,1,1,22.3583,"C","Miss","E",2,22.3583,"1"
130,"3","male",45.0,0,0,6.975,"S","Mr","Unknown",0,6.975,"0"
131,"3","male",33.0,0,0,7.8958,"C","Mr","Unknown",0,7.8958,"0"
132,"3","male",20.0,0,0,7.05,"S","Mr","Unknown",0,7.05,"0"
133,"3","female",47.0,1,0,14.5,"S","Mrs","Unknown",1,14.5,"0"
134,"2","female",29.0,1,0,26.0,"S","Mrs","Unknown",1,13.0,"1"
135,"2","male",25.0,0,0,13.0,"S","Mr","Unknown",0,6.5,"0"
136,"2","male",23.0,0,0,15.0458,"C","Mr","Unknown",0,7.5229,"0"
137,"1","female",19.0,0,2,26.2833,"S","Miss","D",2,8.7611,"1"
138,"1","male",37.0,1,0,53.1,"S","Mr","C",1,17.7,"0"
139,"3","male",16.0,0,0,9.2167,"S","Mr","Unknown",0,9.2167,"0"
140,"1","male",24.0,0,0,79.2,"C","Mr","B",0,26.400000000000002,"0"
141,"3","female",30.18980087658253,0,2,15.2458,"C","Mrs","Unknown",2,15.2458,"0"
142,"3","female",22.0,0,0,7.75,"S","Miss","Unknown",0,7.75,"1"
143,"3","female",24.0,1,0,15.85,"S","Mrs","Unknown",1,15.85,"1"
144,"3","male",19.0,0,0,6.75,"Q","Mr","Unknown",0,6.75,"0"
145,"2","male",18.0,0,0,11.5,"S","Mr","Unknown",0,5.75,"0"
146,"2","male",19.0,1,1,36.75,"S","Mr","Unknown",2,18.375,"0"
147,"3","male",27.0,0,0,7.7958,"S","Mr","Unknown",0,7.7958,"1"
148,"3","female",9.0,2,2,34.375,"S","Miss","Unknown",4,34.375,"0"
149,"2","male",36.5,0,2,26.0,"S","Mr","F",2,13.0,"0"
150,"2","male",42.0,0,0,13.0,"S","Mr","Unknown",0,6.5,"0"
151,"2","male",51.0,0,0,12.525,"S","Mr","Unknown",0,6.2625,"0"
152,"1","female",22.0,1,0,66.6,"S","Mrs","C",1,22.2,"1"
153,"3","male",55.5,0,0,8.05,"S","Mr","Unknown",0,8.05,"0"
154,"3","male",40.5,0,2,14.5,"S","Mr","Unknown",2,14.5,"0"
155,"3","male",29.282989100593632,0,0,7.3125,"S","Mr","Unknown",0,7.3125,"0"
156,"1","male",51.0,0,1,61.3792,"C","Mr","Unknown",1,20.459733333333332,"0"
157,"3","female",16.0,0,0,7.7333,"Q","Miss","Unknown",0,7.7333,"1"
158,"3","male",30.0,0,0,8.05,"S","Mr","Unknown",0,8.05,"0"
159,"3","male",29.282989100593632,0,0,8.6625,"S","Mr","Unknown",0,8.6625,"0"
160,"3","male",23.266356596298074,8,2,69.55,"S","Master","Unknown",10,69.55,"0"
161,"3","male",44.0,0,1,16.1,"S","Mr","Unknown",1,16.1,"0"
162,"2","female",40.0,0,0,15.75,"S","Mrs","Unknown",0,7.875,"1"
163,"3","male",26.0,0,0,7.775,"S","Mr","Unknown",0,7.775,"0"
164,"3","male",17.0,0,0,8.6625,"S","Mr","Unknown",0,8.6625,"0"
165,"3","male",1.0,4,1,39.6875,"S","Master","Unknown",5,39.6875,"0"
166,"3","male",9.0,0,2,20.525,"S","Master","Unknown",2,20.525,"1"
167,"1","female",35.89717881525264,0,1,55.0,"S","Mrs","E",1,18.333333333333332,"1"
168,"3","female",45.0,1,4,27.9,"S","Mrs","Unknown",5,27.9,"0"
169,"1","male",37.29002018416629,0,0,25.925,"S","Mr","Unknown",0,8.641666666666667,"0"
170,"3","male",28.0,0,0,56.4958,"S","Mr","Unknown",0,56.4958,"0"
171,"1","male",61.0,0,0,33.5,"S","Mr","B",0,11.166666666666666,"0"
172,"3","male",4.0,4,1,29.125,"Q","Master","Unknown",5,29.125,"0"
173,"3","female",1.0,1,1,11.1333,"S","Miss","Unknown",2,11.1333,"1"
174,"3","male",21.0,0,0,7.925,"S","Mr","Unknown",0,7.925,"0"
175,"1","male",56.0,0,0,30.6958,"C","Mr","A",0,10.231933333333332,"0"
176,"3","male",18.0,1,1,7.8542,"S","Mr","Unknown",2,7.8542,"0"
177,"3","male",19.70979993189082,3,1,25.4667,"S","Master","Unknown",4,25.4667,"0"
178,"1","female",50.0,0,0,28.7125,"C","Miss","C",0,9.570833333333333,"0"
179,"2","male",30.0,0,0,13.0,"S","Mr","Unknown",0,6.5,"0"
180,"3","male",36.0,0,0,13.787874948665298,"S","Mr","Unknown",0,13.787874948665298,"0"
181,"3","female",23.723447495646333,8,2,69.55,"S","Miss","Unknown",10,69.55,"0"
182,"2","male",28.507303272880172,0,0,15.05,"C","Mr","Unknown",0,7.525,"0"
183,"3","male",9.0,4,2,31.3875,"S","Master","Unknown",6,31.3875,"0"
184,"2","male",1.0,2,1,39.0,"S","Master","F",3,19.5,"1"
185,"3","female",4.0,0,2,22.025,"S","Miss","Unknown",2,22.025,"1"
186,"1","male",33.9771568864058,0,0,50.0,"S","Mr","A",0,16.666666666666668,"0"
187,"3","female",31.732644829473948,1,0,15.5,"Q","Mrs","Unknown",1,15.5,"1"
188,"1","male",45.0,0,0,26.55,"S","Mr","Unknown",0,8.85,"1"
189,"3","male",40.0,1,1,15.5,"Q","Mr","Unknown",2,15.5,"0"
190,"3","male",36.0,0,0,7.8958,"S","Mr","Unknown",0,7.8958,"0"
191,"2","female",32.0,0,0,13.0,"S","Mrs","Unknown",0,6.5,"1"
192,"2","male",19.0,0,0,13.0,"S","Mr","Unknown",0,6.5,"0"
193,"3","female",19.0,1,0,7.8542,"S","Miss","Unknown",1,7.8542,"1"
194,"2","male",3.0,1,1,26.0,"S","Master","F",2,13.0,"1"
195,"1","female",44.0,0,0,27.7208,"C","Mrs","B",0,9.240266666666667,"1"
196,"1","female",58.0,0,0,146.5208,"C","Miss","B",0,48.84026666666667,"1"
197,"3","male",32.108509651425784,0,0,7.75,"Q","Mr","Unknown",0,7.75,"0"
198,"3","male",42.0,0,1,8.4042,"S","Mr","Unknown",1,8.4042,"0"
199,"3","female",24.824112006969308,0,0,7.75,"Q","Miss","Unknown",0,7.75,"1"
200,"2","female",24.0,0,0,13.0,"S","Mrs","Unknown",0,6.5,"0"
201,"3","male",28.0,0,0,9.5,"S","Mr","Unknown",0,9.5,"0"
202,"3","male",28.938241067848658,8,2,69.55,"S","Mr","Unknown",10,69.55,"0"
203,"3","male",34.0,0,0,6.4958,"S","Mr","Unknown",0,6.4958,"0"
204,"3","male",45.5,0,0,7.225,"C","Mr","Unknown",0,7.225,"0"
205,"3","male",18.0,0,0,8.05,"S","Mr","Unknown",0,8.05,"1"
206,"3","female",2.0,0,1,10.4625,"S","Miss","G",1,10.4625,"0"
207,"3","male",32.0,1,0,15.85,"S","Mr","Unknown",1,15.85,"0"
208,"3","male",26.0,0,0,18.7875,"C","Mr","Unknown",0,18.7875,"1"
209,"3","female",16.0,0,0,7.75,"Q","Miss","Unknown",0,7.75,"1"
210,"1","male",40.0,0,0,31.0,"C","Mr","A",0,10.333333333333334,"1"
211,"3","male",24.0,0,0,7.05,"S","Mr","Unknown",0,7.05,"0"
212,"2","female",35.0,0,0,21.0,"S","Miss","Unknown",0,10.5,"1"
213,"3","male",22.0,0,0,7.25,"S","Mr","Unknown",0,7.25,"0"
214,"2","male",30.0,0,0,13.0,"S","Mr","Unknown",0,6.5,"0"
215,"3","male",31.76376161868081,1,0,7.75,"Q","Mr","Unknown",1,7.75,"0"
216,"1","female",31.0,1,0,113.275,"C","Miss","D",1,37.75833333333333,"1"
217,"3","female",27.0,0,0,7.925,"S","Miss","Unknown",0,7.925,"1"
218,"2","male",42.0,1,0,27.0,"S","Mr","Unknown",1,13.5,"0"
219,"1","female",32.0,0,0,76.2917,"C","Miss","D",0,25.430566666666667,"1"
220,"2","male",30.0,0,0,10.5,"S","Mr","Unknown",0,5.25,"0"
221,"3","male",16.0,0,0,8.05,"S","Mr","Unknown",0,8.05,"1"
222,"2","male",27.0,0,0,13.0,"S","Mr","Unknown",0,6.5,"0"
223,"3","male",51.0,0,0,8.05,"S","Mr","Unknown",0,8.05,"0"
224,"3","male",29.282989100593632,0,0,7.8958,"S","Mr","Unknown",0,7.8958,"0"
225,"1","male",38.0,1,0,90.0,"S","Mr","C",1,30.0,"1"
226,"3","male",22.0,0,0,9.35,"S","Mr","Unknown",0,9.35,"0"
227,"2","male",19.0,0,0,10.5,"S","Mr","Unknown",0,5.25,"1"
228,"3","male",20.5,0,0,7.25,"S","Mr","Unknown",0,7.25,"0"
229,"2","male",18.0,0,0,13.0,"S","Mr","Unknown",0,6.5,"0"
230,"3","female",20.747915910131788,3,1,25.4667,"S","Miss","Unknown",4,25.4667,"0"
231,"1","female",35.0,1,0,83.475,"S","Mrs","C",1,27.825,"1"
232,"3","male",29.0,0,0,7.775,"S","Mr","Unknown",0,7.775,"0"
233,"2","male",59.0,0,0,13.5,"S","Mr","Unknown",0,6.75,"0"
234,"3","female",5.0,4,2,31.3875,"S","Miss","Unknown",6,31.3875,"1"
235,"2","male",24.0,0,0,10.5,"S","Mr","Unknown",0,5.25,"0"
236,"3","female",27.211005234665727,0,0,7.55,"S","Miss","Unknown",0,7.55,"0"
237,"2","male",44.0,1,0,26.0,"S","Mr","Unknown",1,13.0,"0"
238,"2","female",8.0,0,2,26.25,"S","Miss","Unknown",2,13.125,"1"
239,"2","male",19.0,0,0,10.5,"S","Mr","Unknown",0,5.25,"0"
240,"2","male",33.0,0,0,12.275,"S","Mr","Unknown",0,6.1375,"0"
241,"3","female",24.824112006969308,1,0,14.4542,"C","Miss","Unknown",1,14.4542,"0"
242,"3","female",24.824112006969308,1,0,15.5,"Q","Miss","Unknown",1,15.5,"1"
243,"2","male",29.0,0,0,10.5,"S","Mr","Unknown",0,5.25,"0"
244,"3","male",22.0,0,0,7.125,"S","Mr","Unknown",0,7.125,"0"
245,"3","male",30.0,0,0,7.225,"C","Mr","Unknown",0,7.225,"0"
246,"1","male",44.0,2,0,90.0,"Q","Mrs","C",2,30.0,"0"
247,"3","female",25.0,0,0,7.775,"S","Miss","Unknown",0,7.775,"0"
248,"2","female",24.0,0,2,14.5,"S","Mrs","Unknown",2,7.25,"1"
249,"1","male",37.0,1,1,52.5542,"S","Mr","D",2,17.518066666666666,"1"
250,"2","male",54.0,1,0,26.0,"S","Mr","Unknown",1,13.0,"0"
251,"3","male",29.282989100593632,0,0,7.25,"S","Mr","Unknown",0,7.25,"0"
252,"3","female",29.0,1,1,10.4625,"S","Mrs","G",2,10.4625,"0"
253,"1","male",62.0,0,0,26.55,"S","Mr","C",0,8.85,"0"
254,"3","male",30.0,1,0,16.1,"S","Mr","Unknown",1,16.1,"0"
255,"3","female",41.0,0,2,20.2125,"S","Mrs","Unknown",2,20.2125,"0"
256,"3","female",29.0,0,2,15.2458,"C","Mrs","Unknown",2,15.2458,"1"
257,"1","female",34.40780219579444,0,0,79.2,"C","Mrs","Unknown",0,26.400000000000002,"1"
258,"1","female",30.0,0,0,86.5,"S","Miss","B",0,28.833333333333332,"1"
259,"1","female",35.0,0,0,512.3292,"C","Miss","Unknown",0,170.7764,"1"
260,"2","female",50.0,0,1,26.0,"S","Mrs","Unknown",1,13.0,"1"
261,"3","male",32.108509651425784,0,0,7.75,"Q","Mr","Unknown",0,7.75,"0"
262,"3","male",3.0,4,2,31.3875,"S","Master","Unknown",6,31.3875,"1"
263,"1","male",52.0,1,1,79.65,"S","Mr","E",2,26.55,"0"
264,"1","male",40.0,0,0,86.14887440758294,"S","Mr","B",0,28.716291469194314,"0"
265,"3","female",24.824112006969308,0,0,7.75,"Q","Miss","Unknown",0,7.75,"0"
266,"2","male",36.0,0,0,10.5,"S","Mr","Unknown",0,5.25,"0"
267,"3","male",16.0,4,1,39.6875,"S","Mr","Unknown",5,39.6875,"0"
268,"3","male",25.0,1,0,7.775,"S","Mr","Unknown",1,7.775,"1"
269,"1","female",58.0,0,1,153.4625,"S","Mrs","C",1,51.15416666666667,"1"
270,"1","female",35.0,0,0,135.6333,"S","Miss","C",0,45.211099999999995,"1"
271,"1","male",36.90264019513831,0,0,31.0,"S","Mr","Unknown",0,10.333333333333334,"0"
272,"3","male",25.0,0,0,13.787874948665298,"S","Mr","Unknown",0,13.787874948665298,"1"
273,"2","female",41.0,0,1,19.5,"S","Mrs","Unknown",1,9.75,"1"
274,"1","male",37.0,0,1,29.7,"C","Mr","C",1,9.9,"0"
275,"3","female",24.824112006969308,0,0,7.75,"Q","Miss","Unknown",0,7.75,"1"
276,"1","female",63.0,1,0,77.9583,"S","Miss","D",1,25.986099999999997,"1"
277,"3","female",45.0,0,0,7.75,"S","Miss","Unknown",0,7.75,"0"
278,"2","male",31.5781470886837,0,0,21.358661235955054,"S","Mr","Unknown",0,10.679330617977527,"0"
279,"3","male",7.0,4,1,29.125,"Q","Master","Unknown",5,29.125,"0"
280,"3","female",35.0,1,1,20.25,"S","Mrs","Unknown",2,20.25,"1"
281,"3","male",65.0,0,0,7.75,"Q","Mr","Unknown",0,7.75,"0"
282,"3","male",28.0,0,0,7.8542,"S","Mr","Unknown",0,7.8542,"0"
283,"3","male",16.0,0,0,9.5,"S","Mr","Unknown",0,9.5,"0"
284,"3","male",19.0,0,0,8.05,"S","Mr","Unknown",0,8.05,"1"
285,"1","male",37.96764290476546,0,0,26.0,"S","Mr","A",0,8.666666666666666,"0"
286,"3","male",33.0,0,0,8.6625,"C","Mr","Unknown",0,8.6625,"0"
287,"3","male",30.0,0,0,9.5,"S","Mr","Unknown",0,9.5,"1"
288,"3","male",22.0,0,0,7.8958,"S","Mr","Unknown",0,7.8958,"0"
289,"2","male",42.0,0,0,13.0,"S","Mr","Unknown",0,6.5,"1"
290,"3","female",22.0,0,0,7.75,"Q","Miss","Unknown",0,7.75,"1"
291,"1","female",26.0,0,0,78.85,"S","Miss","Unknown",0,26.28333333333333,"1"
292,"1","female",19.0,1,0,91.0792,"C","Mrs","B",1,30.359733333333335,"1"
293,"2","male",36.0,0,0,12.875,"C","Mr","D",0,6.4375,"0"
294,"3","female",24.0,0,0,8.85,"S","Miss","Unknown",0,8.85,"0"
295,"3","male",24.0,0,0,7.8958,"S","Mr","Unknown",0,7.8958,"0"
296,"1","male",36.506151372141694,0,0,27.7208,"C","Mr","Unknown",0,9.240266666666667,"0"
297,"3","male",23.5,0,0,7.2292,"C","Mr","Unknown",0,7.2292,"0"
